page_no,label,source_doc,source_page,match_ratio
1,CREDIT_REPORT,Credit Report_990145627.pdf,8,1.0
2,URLA_1003,1003 - URLA_990145627.pdf,10,1.0
3,CREDIT_REPORT,Credit Report_990145627.pdf,18,1.0
4,URLA_1003,1003 - URLA_990145627.pdf,5,1.0
5,CREDIT_REPORT,Credit Report_990145627.pdf,5,1.0
6,URLA_1003,1003 - URLA_990145627.pdf,1,1.0
7,CREDIT_REPORT,Credit Report_990145627.pdf,12,1.0
8,TITLE_REPORT,Title Report_990145627.pdf,9,1.0
9,CREDIT_REPORT,Credit Report_990145627.pdf,2,1.0
10,URLA_1003,1003 - URLA_990145627.pdf,3,1.0
11,CREDIT_REPORT,Credit Report_990145627.pdf,11,1.0
12,TITLE_REPORT,Title Report_990145627.pdf,4,1.0
13,CREDIT_REPORT,Credit Report_990145627.pdf,15,1.0
14,URLA_1003,1003 - URLA_990145627.pdf,6,1.0
15,CREDIT_REPORT,Credit Report_990145627.pdf,9,1.0
16,TITLE_REPORT,Title Report_990145627.pdf,6,1.0
17,CREDIT_REPORT,Credit Report_990145627.pdf,14,1.0
18,TITLE_REPORT,Title Report_990145627.pdf,7,1.0
19,CREDIT_REPORT,Credit Report_990145627.pdf,7,1.0
20,URLA_1003,1003 - URLA_990145627.pdf,4,1.0
21,CREDIT_REPORT,Credit Report_990145627.pdf,1,1.0
22,TITLE_REPORT,Title Report_990145627.pdf,5,1.0
23,CREDIT_REPORT,Credit Report_990145627.pdf,17,1.0
24,URLA_1003,1003 - URLA_990145627.pdf,8,1.0
25,CREDIT_REPORT,Credit Report_990145627.pdf,13,1.0
26,URLA_1003,1003 - URLA_990145627.pdf,11,1.0
27,CREDIT_REPORT,Credit Report_990145627.pdf,10,1.0
28,TITLE_REPORT,Title Report_990145627.pdf,8,1.0
29,CREDIT_REPORT,Credit Report_990145627.pdf,16,1.0
30,URLA_1003,1003 - URLA_990145627.pdf,7,1.0
31,CREDIT_REPORT,Credit Report_990145627.pdf,3,1.0
32,TITLE_REPORT,Title Report_990145627.pdf,1,1.0
33,CREDIT_REPORT,Credit Report_990145627.pdf,6,1.0
34,TITLE_REPORT,Title Report_990145627.pdf,2,1.0
35,URLA_1003,1003 - URLA_990145627.pdf,9,1.0
36,INCOME_DOC,INCOME - P & L_990145627.pdf,1,1.0
37,TITLE_REPORT,Title Report_990145627.pdf,3,1.0
38,URLA_1003,1003 - URLA_990145627.pdf,2,1.0
39,CREDIT_REPORT,Credit Report_990145627.pdf,4,1.0
